h,BME,PME,PMT
-3,-2.4303,-2.43861,-4.91121
-3.30103,-2.73315,-2.73785,-5.51329
-3.60206,-3.03509,-3.03798,-6.11535
-3.90309,-3.33657,-3.33856,-6.71741
-4.20412,-3.63783,-3.63936,-7.31947
-4.50515,-3.93897,-3.94028,-7.92153
-4.80618,-4.24006,-4.24125,-8.52359
-5.10721,-4.54112,-4.54226,-9.12567
-5.40824,-4.84216,-4.84327,-9.72761
-5.70927,-5.1432,-5.14429,-10.3309
-6.0103,-5.44423,-5.44532,-10.9238
-6.31133,-5.74526,-5.74635,-11.5287
-6.61236,-6.04629,-6.04738,-11.5958
-6.91339,-6.34732,-6.34841,-11.3603
-7.21442,-6.64834,-6.64945,-11.204
-7.51545,-6.94936,-6.95049,-10.724
-7.81648,-7.25059,-7.25132,-10.4243
-8.11751,-7.5522,-7.55177,-10.275
-8.41854,-7.8544,-7.85164,-10.0404
-8.71957,-8.15777,-8.15036,-9.4706
-9.0206,-8.39681,-8.48803,-9.23592
-9.32163,-8.65859,-8.67752,-9.00319
-9.62266,-8.56205,-8.89823,-8.70398
-9.92369,-8.416,-8.36261,-8.38867
