h,BME,PME,PMT
-3,-2.4303,-2.43861,-4.91121
-3.30103,-2.73315,-2.73785,-5.51329
-3.60206,-3.03509,-3.03798,-6.11535
-3.90309,-3.33657,-3.33856,-6.71741
-4.20412,-3.63783,-3.63936,-7.31947
-4.50515,-3.93897,-3.94028,-7.92153
-4.80618,-4.24006,-4.24125,-8.52359
-5.10721,-4.54112,-4.54226,-9.12567
-5.40824,-4.84216,-4.84327,-9.72761
-5.70927,-5.1432,-5.14429,-10.3309
-6.0103,-5.44423,-5.44532,-10.9238
-6.31133,-5.74526,-5.74635,-11.5287
-6.61236,-6.04629,-6.04738,-11.5958
-6.91339,-6.34732,-6.34841,-11.3603
