t,PME
0.001,0.0196078
0.002,0.0388312
0.003,0.0576776
0.004,0.0761544
0.005,0.0942689
0.006,0.112028
0.007,0.129439
0.008,0.146508
0.009,0.163243
0.01,0.179649
0.011,0.195734
0.012,0.211503
0.013,0.226963
0.014,0.242119
0.015,0.256978
0.016,0.271545
0.017,0.285827
0.018,0.299828
0.019,0.313555
0.02,0.327012
0.021,0.340206
0.022,0.35314
0.023,0.36582
0.024,0.378252
0.025,0.39044
0.026,0.402388
0.027,0.414102
0.028,0.425586
0.029,0.436845
0.03,0.447883
0.031,0.458704
0.032,0.469313
0.033,0.479713
0.034,0.489909
0.035,0.499905
0.036,0.509705
0.037,0.519313
0.038,0.528732
0.039,0.537966
0.04,0.547018
0.041,0.555893
0.042,0.564594
0.043,0.573124
0.044,0.581487
0.045,0.589685
0.046,0.597723
0.047,0.605602
0.048,0.613327
0.049,0.6209
0.05,0.628325
0.051,0.635604
0.052,0.64274
0.053,0.649736
0.054,0.656594
0.055,0.663318
0.056,0.66991
0.057,0.676372
0.058,0.682708
0.059,0.688919
0.06,0.695008
0.061,0.700978
0.062,0.706831
0.063,0.712568
0.064,0.718193
0.065,0.723708
0.066,0.729114
0.067,0.734414
0.068,0.73961
0.069,0.744705
0.07,0.749699
0.071,0.754595
0.072,0.759395
0.073,0.764101
0.074,0.768714
0.075,0.773237
0.076,0.777671
0.077,0.782018
0.078,0.78628
0.079,0.790458
0.08,0.794554
0.081,0.79857
0.082,0.802507
0.083,0.806367
0.084,0.810151
0.085,0.813861
0.086,0.817498
0.087,0.821063
0.088,0.824559
0.089,0.827986
0.09,0.831346
0.091,0.83464
0.092,0.837869
0.093,0.841035
0.094,0.844139
0.095,0.847182
0.096,0.850165
0.097,0.85309
0.098,0.855957
0.099,0.858769
0.1,0.861525
0.101,0.864227
0.102,0.866876
0.103,0.869473
0.104,0.872019
0.105,0.874515
0.106,0.876963
0.107,0.879362
0.108,0.881714
0.109,0.88402
0.11,0.886281
0.111,0.888498
0.112,0.890671
0.113,0.892802
0.114,0.894891
0.115,0.896939
0.116,0.898947
0.117,0.900915
0.118,0.902845
0.119,0.904738
0.12,0.906593
0.121,0.908411
0.122,0.910195
0.123,0.911943
0.124,0.913657
0.125,0.915337
0.126,0.916985
0.127,0.9186
0.128,0.920184
0.129,0.921736
0.13,0.923259
0.131,0.924751
0.132,0.926214
0.133,0.927649
0.134,0.929056
0.135,0.930435
0.136,0.931787
0.137,0.933112
0.138,0.934412
0.139,0.935686
0.14,0.936936
0.141,0.93816
0.142,0.939361
0.143,0.940539
0.144,0.941693
0.145,0.942825
0.146,0.943935
0.147,0.945023
0.148,0.94609
0.149,0.947136
0.15,0.948161
0.151,0.949167
0.152,0.950153
0.153,0.951119
0.154,0.952067
0.155,0.952996
0.156,0.953907
0.157,0.9548
0.158,0.955676
0.159,0.956535
0.16,0.957377
0.161,0.958202
0.162,0.959012
0.163,0.959805
0.164,0.960584
0.165,0.961346
0.166,0.962095
0.167,0.962828
0.168,0.963547
0.169,0.964252
0.17,0.964944
0.171,0.965622
0.172,0.966286
0.173,0.966938
0.174,0.967577
0.175,0.968204
0.176,0.968818
0.177,0.96942
0.178,0.970011
0.179,0.97059
0.18,0.971158
0.181,0.971715
0.182,0.972261
0.183,0.972796
0.184,0.973321
0.185,0.973836
0.186,0.974341
0.187,0.974836
0.188,0.975321
0.189,0.975797
0.19,0.976263
0.191,0.976721
0.192,0.977169
0.193,0.977609
0.194,0.97804
0.195,0.978463
0.196,0.978878
0.197,0.979285
0.198,0.979683
0.199,0.980074
0.2,0.980458
0.201,0.980834
0.202,0.981202
0.203,0.981564
0.204,0.981918
0.205,0.982266
0.206,0.982607
0.207,0.982941
0.208,0.983269
0.209,0.98359
0.21,0.983905
0.211,0.984214
0.212,0.984517
0.213,0.984815
0.214,0.985106
0.215,0.985392
0.216,0.985672
0.217,0.985947
0.218,0.986216
0.219,0.986481
0.22,0.98674
0.221,0.986994
