h,BME,PME,PMT
0.000000e+00,1.301030e+00,3.136191e-01,1.301030e+00
-1.461280e-01,1.154902e+00,2.754521e-01,1.154902e+00
-2.922561e-01,1.008774e+00,2.394929e-01,1.008774e+00
-4.383841e-01,1.566546e+00,2.032555e-01,1.566546e+00
-5.845121e-01,1.230224e+00,1.629699e-01,1.230224e+00
-7.306402e-01,1.255383e+00,1.152243e-01,1.255383e+00
-8.767682e-01,7.962282e-01,5.752603e-02,7.962282e-01
-1.022896e+00,2.781337e-01,-1.162457e-02,2.781337e-01
-1.169024e+00,1.320057e-01,-9.277911e-02,1.320057e-01
-1.315152e+00,-1.412233e-02,-1.856453e-01,-1.412233e-02
-1.461280e+00,-1.602504e-01,-2.892669e-01,-1.602504e-01
-1.607408e+00,-3.063784e-01,-4.022640e-01,-3.063784e-01
-1.753536e+00,-4.525064e-01,-5.230798e-01,-4.525064e-01
-1.899664e+00,-5.986345e-01,-6.501823e-01,-5.986345e-01
-2.045792e+00,-7.447625e-01,-7.821935e-01,-7.447625e-01
-2.191921e+00,-8.908905e-01,-9.179506e-01,-8.908905e-01
-2.338049e+00,-1.037019e+00,-1.056517e+00,-1.037019e+00
-2.484177e+00,-1.183147e+00,-1.197162e+00,-1.183147e+00
-2.630305e+00,-1.329275e+00,-1.339332e+00,-1.329275e+00
-2.776433e+00,-1.475403e+00,-1.482610e+00,-1.475403e+00
-2.922561e+00,-1.621531e+00,-1.626691e+00,-1.621531e+00
-3.068689e+00,-1.767659e+00,-1.771351e+00,-1.767659e+00
-3.214817e+00,-1.913787e+00,-1.916427e+00,-1.913787e+00
-3.360945e+00,-2.059915e+00,-2.061802e+00,-2.059915e+00
-3.507073e+00,-2.206043e+00,-2.207392e+00,-2.206043e+00
-3.653201e+00,-2.352171e+00,-2.353135e+00,-2.352171e+00
-3.799329e+00,-2.498299e+00,-2.498988e+00,-2.498299e+00
-3.945457e+00,-2.644427e+00,-2.644919e+00,-2.644427e+00
-4.091585e+00,-2.790555e+00,-2.790907e+00,-2.790555e+00
-4.237713e+00,-2.936683e+00,-2.936934e+00,-2.936683e+00
-4.383841e+00,-3.082811e+00,-3.082990e+00,-3.082811e+00
-4.529969e+00,-3.228939e+00,-3.229067e+00,-3.228939e+00
-4.676097e+00,-3.375067e+00,-3.375159e+00,-3.375067e+00
-4.822225e+00,-3.521195e+00,-3.521261e+00,-3.521195e+00
-4.968353e+00,-3.667323e+00,-3.667370e+00,-3.667323e+00
-5.114481e+00,-3.813451e+00,-3.813485e+00,-3.813451e+00
-5.260609e+00,-3.959579e+00,-3.959603e+00,-3.959579e+00
-5.406737e+00,-4.105707e+00,-4.105724e+00,-4.105707e+00
-5.552865e+00,-4.251835e+00,-4.251848e+00,-4.251835e+00
-5.698993e+00,-4.397963e+00,-4.397972e+00,-4.397963e+00
-5.845121e+00,-4.544091e+00,-4.544098e+00,-4.544091e+00
-5.991249e+00,-4.690219e+00,-4.690224e+00,-4.690219e+00
-6.137377e+00,-4.836348e+00,-4.836351e+00,-4.836348e+00
-6.283506e+00,-4.982476e+00,-4.982478e+00,-4.982476e+00
-6.429634e+00,-5.128604e+00,-5.128605e+00,-5.128604e+00
-6.575762e+00,-5.274732e+00,-5.274733e+00,-5.274732e+00
-6.721890e+00,-5.420860e+00,-5.420860e+00,-5.420860e+00
-6.868018e+00,-5.566988e+00,-5.566988e+00,-5.566988e+00
-7.014146e+00,-5.713116e+00,-5.713116e+00,-5.713116e+00
-7.160274e+00,-5.859244e+00,-5.859244e+00,-5.859244e+00
-7.306402e+00,-6.005372e+00,-6.005372e+00,-6.005372e+00
-7.452530e+00,-6.151500e+00,-6.151500e+00,-6.151500e+00
-7.598658e+00,-6.297628e+00,-6.297628e+00,-6.297628e+00
-7.744786e+00,-6.443756e+00,-6.443756e+00,-6.443756e+00
-7.890914e+00,-6.589884e+00,-6.589884e+00,-6.589884e+00
-8.037042e+00,-6.736012e+00,-6.736012e+00,-6.736012e+00
-8.183170e+00,-6.882140e+00,-6.882140e+00,-6.882140e+00
-8.329298e+00,-7.028268e+00,-7.028268e+00,-7.028268e+00
-8.475426e+00,-7.174396e+00,-7.174396e+00,-7.174396e+00
-8.621554e+00,-7.320524e+00,-7.320524e+00,-7.320524e+00
-8.767682e+00,-7.466652e+00,-7.466652e+00,-7.466652e+00
-8.913810e+00,-7.612780e+00,-7.612780e+00,-7.612780e+00
-9.059938e+00,-7.758908e+00,-7.758908e+00,-7.758908e+00
-9.206066e+00,-7.905036e+00,-7.905036e+00,-7.905036e+00
-9.352194e+00,-8.051164e+00,-8.051164e+00,-8.051164e+00
-9.498322e+00,-8.197292e+00,-8.197292e+00,-8.197292e+00
-9.644450e+00,-8.343420e+00,-8.343420e+00,-8.343420e+00
-9.790578e+00,-8.489548e+00,-8.489548e+00,-8.489548e+00
-9.936706e+00,-8.606460e+00,-8.635676e+00,-8.606460e+00
-1.008283e+01,-8.646448e+00,-8.593933e+00,-8.646448e+00
-1.022896e+01,-7.936027e+00,-7.943170e+00,-7.936027e+00
-1.037509e+01,-7.977253e+00,-7.982602e+00,-7.977253e+00
-1.052122e+01,-7.752388e+00,-7.749674e+00,-7.752388e+00
-1.066735e+01,-7.673315e+00,-7.674548e+00,-7.673315e+00
-1.081347e+01,-7.435278e+00,-7.434573e+00,-7.435278e+00
-1.095960e+01,-7.452720e+00,-7.452953e+00,-7.452720e+00
