x,equidistant,Chebyshev
-1,0.0909091,0.0915778
-0.99,0.096202,0.0956473
-0.98,0.1028,0.1007
-0.97,0.110187,0.106514
-0.96,0.117994,0.112919
-0.95,0.125975,0.119791
-0.94,0.133985,0.127048
-0.93,0.141954,0.134639
-0.92,0.149875,0.142547
-0.91,0.157786,0.150775
-0.9,0.165761,0.159347
-0.89,0.173891,0.168301
-0.88,0.182285,0.177684
-0.87,0.191054,0.187549
-0.86,0.200309,0.197953
-0.85,0.210156,0.208951
-0.84,0.22069,0.220595
-0.83,0.231996,0.232933
-0.82,0.244141,0.246004
-0.81,0.25718,0.25984
-0.8,0.271148,0.274463
-0.79,0.286064,0.289885
-0.78,0.301933,0.306107
-0.77,0.318741,0.323119
-0.76,0.336461,0.340901
-0.75,0.355051,0.359422
-0.74,0.374458,0.378642
-0.73,0.394615,0.398511
-0.72,0.415448,0.418971
-0.71,0.436875,0.439956
-0.7,0.458806,0.461395
-0.69,0.481146,0.483211
-0.68,0.503798,0.505322
-0.67,0.526663,0.527644
-0.66,0.549639,0.550089
-0.65,0.572626,0.572571
-0.64,0.595528,0.595002
-0.63,0.618249,0.617295
-0.62,0.640698,0.639366
-0.61,0.662788,0.661133
-0.6,0.684439,0.682519
-0.59,0.705574,0.703451
-0.58,0.726127,0.723858
-0.57,0.746034,0.74368
-0.56,0.765242,0.762857
-0.55,0.783703,0.781341
-0.54,0.801379,0.799086
-0.53,0.818236,0.816056
-0.52,0.834249,0.83222
-0.51,0.849401,0.847553
-0.5,0.863681,0.862039
-0.49,0.877085,0.875668
-0.48,0.889615,0.888435
-0.47,0.901278,0.900343
-0.46,0.912087,0.911399
-0.45,0.922062,0.921616
-0.44,0.931224,0.931012
-0.43,0.939601,0.939611
-0.42,0.947223,0.947439
-0.41,0.954123,0.954526
-0.4,0.960337,0.960906
-0.39,0.965902,0.966615
-0.38,0.970858,0.971691
-0.37,0.975244,0.976174
-0.36,0.979102,0.980104
-0.35,0.982473,0.983523
-0.34,0.985396,0.986472
-0.33,0.987913,0.988994
-0.32,0.990062,0.991128
-0.31,0.991881,0.992915
-0.3,0.993406,0.994393
-0.29,0.994672,0.995598
-0.28,0.995713,0.996567
-0.27,0.996557,0.997331
-0.26,0.997235,0.997922
-0.25,0.997771,0.998367
-0.24,0.99819,0.998693
-0.23,0.998514,0.998924
-0.22,0.998761,0.999079
-0.21,0.998948,0.999178
-0.2,0.999089,0.999236
-0.19,0.999198,0.999266
-0.18,0.999284,0.99928
-0.17,0.999355,0.999287
-0.16,0.999419,0.999294
-0.15,0.99948,0.999305
-0.14,0.999542,0.999324
-0.13,0.999606,0.999353
-0.12,0.999674,0.999392
-0.11,0.999746,0.999441
-0.1,0.999821,0.999499
-0.09,0.999898,0.999564
-0.08,0.999975,0.999633
-0.07,1.00005,0.999703
-0.06,1.00012,0.999771
-0.05,1.00018,0.999834
-0.04,1.00024,0.99989
-0.03,1.00029,0.999937
-0.02,1.00032,0.999971
-0.01,1.00034,0.999993
7.5287e-16,1.00035,1
0.01,1.00034,0.999993
0.02,1.00032,0.999971
0.03,1.00029,0.999937
0.04,1.00024,0.99989
0.05,1.00018,0.999834
0.06,1.00012,0.999771
0.07,1.00005,0.999703
0.08,0.999975,0.999633
0.09,0.999898,0.999564
0.1,0.999821,0.999499
0.11,0.999746,0.999441
0.12,0.999674,0.999392
0.13,0.999606,0.999353
0.14,0.999542,0.999324
0.15,0.99948,0.999305
0.16,0.999419,0.999294
0.17,0.999355,0.999287
0.18,0.999284,0.99928
0.19,0.999198,0.999266
0.2,0.999089,0.999236
0.21,0.998948,0.999178
0.22,0.998761,0.999079
0.23,0.998514,0.998924
0.24,0.99819,0.998693
0.25,0.997771,0.998367
0.26,0.997235,0.997922
0.27,0.996557,0.997331
0.28,0.995713,0.996567
0.29,0.994672,0.995598
0.3,0.993406,0.994393
0.31,0.991881,0.992915
0.32,0.990062,0.991128
0.33,0.987913,0.988994
0.34,0.985396,0.986472
0.35,0.982473,0.983523
0.36,0.979102,0.980104
0.37,0.975244,0.976174
0.38,0.970858,0.971691
0.39,0.965902,0.966615
0.4,0.960337,0.960906
0.41,0.954123,0.954526
0.42,0.947223,0.947439
0.43,0.939601,0.939611
0.44,0.931224,0.931012
0.45,0.922062,0.921616
0.46,0.912087,0.911399
0.47,0.901278,0.900343
0.48,0.889615,0.888435
0.49,0.877085,0.875668
0.5,0.863681,0.862039
0.51,0.849401,0.847553
0.52,0.834249,0.83222
0.53,0.818236,0.816056
0.54,0.801379,0.799086
0.55,0.783703,0.781341
0.56,0.765242,0.762857
0.57,0.746034,0.74368
0.58,0.726127,0.723858
0.59,0.705574,0.703451
0.6,0.684439,0.682519
0.61,0.662788,0.661133
0.62,0.640698,0.639366
0.63,0.618249,0.617295
0.64,0.595528,0.595002
0.65,0.572626,0.572571
0.66,0.549639,0.550089
0.67,0.526663,0.527644
0.68,0.503798,0.505322
0.69,0.481146,0.483211
0.7,0.458806,0.461395
0.71,0.436875,0.439956
0.72,0.415448,0.418971
0.73,0.394615,0.398511
0.74,0.374458,0.378642
0.75,0.355051,0.359422
0.76,0.336461,0.340901
0.77,0.318741,0.323119
0.78,0.301933,0.306107
0.79,0.286064,0.289885
0.8,0.271148,0.274463
0.81,0.25718,0.25984
0.82,0.244141,0.246004
0.83,0.231996,0.232933
0.84,0.22069,0.220595
0.85,0.210156,0.208951
0.86,0.200309,0.197953
0.87,0.191054,0.187549
0.88,0.182285,0.177684
0.89,0.173891,0.168301
0.9,0.165761,0.159347
0.91,0.157786,0.150775
0.92,0.149875,0.142547
0.93,0.141954,0.134639
0.94,0.133985,0.127048
0.95,0.125975,0.119791
0.96,0.117994,0.112919
0.97,0.110187,0.106514
0.98,0.1028,0.1007
0.99,0.096202,0.0956473
