h,0 progresywna trzypunktowa,0 progresywna dwupunktowa,$\dfrac{\pi}{4}$ wsteczna trzypunktowa,$\dfrac{\pi}{4}$ wsteczna dwupunktowa,$\dfrac{\pi}{4}$ centralna dwupunktowa,$\dfrac{\pi}{4}$ progresywna dwupunktowa,$\dfrac{\pi}{4}$ progresywna trzypunktowa,$\dfrac{\pi}{2}$ wsteczna trzypunktowa,$\dfrac{\pi}{2}$ wsteczna dwupunktowa
0.1,0.00166583,0.00332168,0.00252526,0.034148,0.00117792,0.0365038,0.0021723,0.000249584,0.0499583
0.0833333,0.00115701,0.00230919,0.00173503,0.0286276,0.000818127,0.0302639,0.00153066,0.000144509,0.0416426
0.0694444,0.000803561,0.0016048,0.00119392,0.0239742,0.000568204,0.0251107,0.00107561,8.36572e-05,0.0347083
0.0578704,0.00055807,0.00111502,0.000822679,0.0200599,0.000394615,0.0208492,0.000754196,4.84246e-05,0.0289271
0.0482253,0.000387568,0.000774596,0.000567541,0.0167729,0.000274052,0.017321,0.000527903,2.80283e-05,0.024108
0.0401878,0.000269154,0.000538048,0.000391928,0.0140163,0.000190321,0.0143969,0.000368986,1.6222e-05,0.0200912
0.0334898,0.000186917,0.000373709,0.000270891,0.0117072,0.00013217,0.0119715,0.000257613,9.3885e-06,0.0167433
0.0279082,0.000129806,0.000259551,0.000187372,0.0097746,9.17866e-05,0.00995817,0.000179688,5.43347e-06,0.0139532
0.0232568,9.01441e-05,0.000180259,0.000129686,0.00815841,6.37415e-05,0.00828589,0.000125239,3.1445e-06,0.0116279
0.0193807,6.26006e-05,0.000125187,8.98074e-05,0.00680762,4.42653e-05,0.00689615,8.72338e-05,1.81978e-06,0.00969003
0.0161506,4.34729e-05,8.69389e-05,6.22198e-05,0.00567922,3.074e-05,0.0057407,6.07304e-05,1.05313e-06,0.0080751
0.0134588,3.01896e-05,6.03759e-05,4.31232e-05,0.00473698,2.13473e-05,0.00477968,4.22613e-05,6.09461e-07,0.0067293
0.0112157,2.09651e-05,4.19285e-05,2.98974e-05,0.00395047,1.48245e-05,0.00398012,2.93986e-05,3.527e-07,0.00560777
0.00934639,1.45591e-05,2.91174e-05,2.07335e-05,0.00329413,1.02948e-05,0.00331472,2.04448e-05,2.0411e-07,0.00467316
0.00778866,1.01105e-05,2.02206e-05,1.43817e-05,0.00274654,7.1492e-06,0.00276084,1.42146e-05,1.1812e-07,0.00389431
0.00649055,7.02119e-06,1.40422e-05,9.97767e-06,0.00228978,4.96473e-06,0.00229971,9.88099e-06,6.83567e-08,0.00324526
0.00540879,4.87583e-06,9.75157e-06,6.92337e-06,0.00190884,3.44773e-06,0.00191574,6.86743e-06,3.95583e-08,0.00270439
0.00450732,3.38599e-06,6.77194e-06,4.80467e-06,0.00159118,2.39426e-06,0.00159597,4.7723e-06,2.28926e-08,0.00225366
0.0037561,2.35138e-06,4.70275e-06,3.33471e-06,0.00132632,1.66268e-06,0.00132964,3.31598e-06,1.32481e-08,0.00187805
