h,0 progresywna trzypunktowa,0 progresywna dwupunktowa,$\dfrac{\pi}{4}$ wsteczna trzypunktowa,$\dfrac{\pi}{4}$ wsteczna dwupunktowa,$\dfrac{\pi}{4}$ centralna dwupunktowa,$\dfrac{\pi}{4}$ progresywna dwupunktowa,$\dfrac{\pi}{4}$ progresywna trzypunktowa,$\dfrac{\pi}{2}$ wsteczna trzypunktowa,$\dfrac{\pi}{2}$ wsteczna dwupunktowa
0.1,0.00166577,0.00332177,0.00252497,0.0341479,0.00117767,0.0365033,0.00217301,0.000249489,0.0499583
0.0833333,0.00115705,0.0023092,0.00173354,0.0286268,0.000818491,0.0302638,0.00153077,0.000145241,0.041643
0.0694444,0.00080359,0.00160468,0.00119257,0.0239733,0.000568688,0.0251107,0.00107545,8.37286e-05,0.0347083
0.0578704,0.000558078,0.00111508,0.000822902,0.0200602,0.000393987,0.0208482,0.000755966,4.74223e-05,0.0289267
0.0482253,0.000387549,0.000774622,0.000565588,0.0167715,0.000274241,0.01732,0.000529706,2.72349e-05,0.0241075
0.0401878,0.000269175,0.000537992,0.000392079,0.0140163,0.000190079,0.0143965,0.000369072,1.56168e-05,0.0200909
0.0334898,0.000186861,0.000373721,0.000268996,0.0117059,0.000132322,0.0119706,0.000259221,8.05275e-06,0.0167425
0.0279082,0.000129819,0.000259519,0.00018394,0.00977236,9.26256e-05,0.00995761,0.000180721,4.3152e-06,0.0139529
0.0232568,9.01818e-05,0.000180244,0.000129521,0.00815779,6.40154e-05,0.00828576,0.000125647,2.6066e-06,0.0116279
0.0193807,6.25849e-05,0.00012517,9.13143e-05,0.00680816,4.24385e-05,0.0068931,9.13143e-05,3.11918e-06,0.00969085
0.0161506,4.34518e-05,8.69036e-05,6.06179e-05,0.00567764,3.16501e-05,0.00574094,6.06179e-05,4.37114e-08,0.008075
0.0134588,3.016e-05,6.04391e-05,4.44055e-05,0.0047366,1.97887e-05,0.00477618,4.88162e-05,4.38497e-06,0.0067272
0.0112157,2.09212e-05,4.19617e-05,3.15905e-05,0.00395095,1.35899e-05,0.00397813,3.15905e-05,2.61349e-06,0.00560675
0.00934638,1.45435e-05,2.90871e-05,2.04444e-05,0.00329202,1.14441e-05,0.00331485,2.04444e-05,3.23236e-06,0.0046746
0.00778865,1.01328e-05,2.02656e-05,3.93391e-06,0.00273979,7.56979e-06,0.00275493,2.3067e-05,3.87009e-06,0.0038953
0.00649054,7.03335e-06,1.39475e-05,3.15905e-06,0.00228524,6.02007e-06,0.00229722,1.23382e-05,9.13959e-06,0.00324175
0.00540879,4.88758e-06,9.77516e-06,1.60933e-05,0.00189584,1.06096e-05,0.00191706,5.96046e-06,1.09763e-05,0.00269994
0.00450732,3.39746e-06,6.67572e-06,1.50204e-05,0.00157845,8.40425e-06,0.00159526,4.82798e-06,1.31802e-05,0.00224812
0.0037561,2.38419e-06,4.76837e-06,3.09944e-06,0.00132197,3.09944e-06,0.00132811,4.82798e-06,7.89067e-06,0.00187256
0.00313008,1.60933e-06,3.21865e-06,1.49012e-06,0.00110298,1.49012e-06,0.0011059,1.49012e-06,9.47754e-06,0.00156153
0.0026084,1.13249e-06,2.26498e-06,2.80738e-05,0.000908792,5.24521e-06,0.000919282,5.24521e-06,4.37114e-08,0.00130255
0.00217367,7.7486e-07,1.54972e-06,3.72529e-05,0.000744283,9.83477e-06,0.000763893,3.8743e-06,1.37543e-05,0.00109689
0.00181139,5.96046e-07,1.07288e-06,1.80006e-05,0.000623643,1.54972e-06,0.000626802,3.1352e-05,3.29492e-05,0.000921396
0.00150949,3.57628e-07,7.15256e-07,1.54972e-06,0.000531495,1.54972e-06,0.000534654,1.54972e-06,4.37114e-08,0.000750288
0.00125791,2.98023e-07,4.76837e-07,2.13385e-05,0.000428855,2.38419e-06,0.000424087,4.97699e-05,2.36482e-05,0.000616034
0.00104826,2.38419e-07,3.57628e-07,1.65701e-05,0.000353038,1.18613e-05,0.000329316,6.87242e-05,2.83866e-05,0.000511789
0.000873549,1.19209e-07,2.38419e-07,7.90954e-05,0.000262082,1.0848e-05,0.000283778,2.32458e-05,6.8189e-05,0.00040944
0.000727958,5.96046e-08,1.19209e-07,2.80142e-06,0.000248432,2.80142e-06,0.000242889,2.80142e-06,8.18356e-05,0.000327561
0.000606631,1.19209e-07,1.19209e-07,3.5584e-05,0.0002321,3.5584e-05,0.000160933,3.5584e-05,4.37114e-08,0.000294809
0.000505526,0,1.19209e-07,0.000141203,9.45926e-05,2.33054e-05,0.000141203,9.45926e-05,5.89094e-05,0.000235856
0.000421272,0,1.19209e-07,0.000164747,4.74453e-05,2.33054e-05,9.40561e-05,4.74453e-05,0.000141444,0.000141531
0.00035106,0,1.19209e-07,0.000122309,4.74453e-05,4.74453e-05,4.74453e-05,0.000302136,4.37114e-08,0.000169829
