h,Numerov
0,1
0.01,0.978331
0.02,0.957054
0.03,0.936163
0.04,0.915648
0.05,0.895504
0.06,0.875723
0.07,0.856299
0.08,0.837224
0.09,0.818492
0.1,0.800096
0.11,0.78203
0.12,0.764289
0.13,0.746865
0.14,0.729752
0.15,0.712946
0.16,0.69644
0.17,0.680228
0.18,0.664305
0.19,0.648666
0.2,0.633306
0.21,0.618219
0.22,0.6034
0.23,0.588845
0.24,0.574548
0.25,0.560505
0.26,0.546712
0.27,0.533162
0.28,0.519854
0.29,0.506781
0.3,0.49394
0.31,0.481326
0.32,0.468936
0.33,0.456766
0.34,0.444811
0.35,0.433068
0.36,0.421534
0.37,0.410204
0.38,0.399075
0.39,0.388144
0.4,0.377407
0.41,0.366861
0.42,0.356503
0.43,0.346329
0.44,0.336337
0.45,0.326523
0.46,0.316886
0.47,0.30742
0.48,0.298125
0.49,0.288997
0.5,0.280034
0.51,0.271233
0.52,0.262591
0.53,0.254106
0.54,0.245776
0.55,0.237598
0.56,0.22957
0.57,0.22169
0.58,0.213956
0.59,0.206366
0.6,0.198916
0.61,0.191607
0.62,0.184435
0.63,0.177399
0.64,0.170497
0.65,0.163727
0.66,0.157087
0.67,0.150577
0.68,0.144193
0.69,0.137936
0.7,0.131802
0.71,0.125791
0.72,0.119902
0.73,0.114133
0.74,0.108482
0.75,0.102948
0.76,0.097531
0.77,0.0922287
0.78,0.0870404
0.79,0.0819648
0.8,0.0770011
0.81,0.0721482
0.82,0.0674051
0.83,0.062771
0.84,0.058245
0.85,0.0538263
0.86,0.0495141
0.87,0.0453078
0.88,0.0412066
0.89,0.0372098
0.9,0.033317
0.91,0.0295274
0.92,0.0258407
0.93,0.0222564
0.94,0.0187739
0.95,0.015393
0.96,0.0121132
0.97,0.00893424
0.98,0.00585588
0.99,0.00287786
1,0
